ts,asset,window,side,entryPrice,amountUsd,strike,finalPrice,won,pnl
2026-06-21T08:40:02.027Z,ETH,300,DOWN,0.99,1,1725.1697332962433,1724.0622776345642,true,0.010101
2026-06-21T09:10:02.042Z,BTC,300,DOWN,0.98,1,63930.38255860436,63895.4883782579,true,0.020408
2026-06-21T09:25:02.110Z,BTC,300,UP,0.98,1,63896.82682300582,63938.450753897654,true,0.020408
2026-06-21T09:30:02.212Z,BTC,300,UP,0.99,1,63939.70341614083,63972.16709260374,true,0.010101
2026-06-21T10:30:02.090Z,BTC,900,UP,0.99,1,64201.25428553225,64229.54862249628,true,0.010101
2026-06-21T10:35:02.047Z,ETH,300,DOWN,0.98,1,1732.30193,1730.93767,true,0.020408
2026-06-21T10:40:02.244Z,ETH,300,UP,0.98,1,1730.92129,1730.806065,false,-1.000000
2026-06-21T12:45:02.223Z,ETH,300,UP,0.99,1,1717.3267058506165,1718.520435,true,0.010101
2026-06-21T13:25:02.138Z,ETH,300,DOWN,0.99,1,1725.311005,1723.86393,true,0.010101
2026-06-21T13:30:02.053Z,BTC,900,UP,0.98,1,64044.676381010686,64086.93765002914,true,0.020408
2026-06-21T14:20:02.204Z,ETH,300,DOWN,0.99,1,1721.398345,1720.60281,true,0.010101
2026-06-21T14:35:02.223Z,ETH,300,UP,0.99,1,1720.5362559858695,1720.4745996523823,false,-1.000000
2026-06-21T14:50:02.166Z,ETH,300,DOWN,0.99,1,1723.3125091954705,1722.90195,true,0.010101
2026-06-21T14:55:02.028Z,ETH,300,UP,0.98,1,1722.90695,1723.428175,true,0.020408
2026-06-21T15:05:02.057Z,ETH,300,UP,0.99,1,1726.5415,1728.32305,true,0.010101
2026-06-21T15:20:02.013Z,ETH,300,UP,0.98,1,1727.07961,1728.0166036532255,true,0.020408
2026-06-21T15:25:02.071Z,BTC,300,DOWN,0.99,1,64142.67876169968,64123.4805,true,0.010101
2026-06-21T15:45:02.232Z,BTC,900,UP,0.98,1,64182.45994723729,64222.71506152344,true,0.020408
2026-06-21T16:15:02.121Z,ETH,300,DOWN,0.99,1,1726.3703739160323,1725.462027213132,true,0.010101
2026-06-21T16:25:02.285Z,BTC,300,UP,0.98,1,64098.92180606597,64143.519547669566,true,0.020408
2026-06-21T16:40:02.136Z,ETH,300,UP,0.99,1,1720.7074630684313,1721.0500553503005,true,0.010101
2026-06-21T16:55:02.049Z,BTC,300,UP,0.98,1,64071.6546172913,64075.91334898229,true,0.020408
2026-06-21T17:05:02.115Z,BTC,300,UP,0.99,1,64073.12781783683,64108.55017397336,true,0.010101
2026-06-21T17:10:02.143Z,BTC,300,UP,0.99,1,64111.55924157202,64134.151096547146,true,0.010101
2026-06-21T17:25:02.014Z,BTC,300,DOWN,0.98,1,64099.41019475587,64082.35077252806,true,0.020408
2026-06-21T17:30:02.079Z,BTC,300,DOWN,0.99,1,64082.34164267826,64027.71845244335,true,0.010101
2026-06-21T17:45:02.020Z,BTC,900,UP,0.99,1,64027.792699563804,64048.74584072281,true,0.010101
2026-06-21T18:10:02.087Z,ETH,300,UP,0.99,1,1720.305285,1721.1052276848682,true,0.010101
2026-06-21T18:20:02.142Z,ETH,300,UP,0.98,1,1721.665595,1722.6394022824084,true,0.020408
2026-06-21T18:30:02.066Z,B=TC,300,UP,0.98,1,63947.47144692062,63965.67712701781,true,0.020408
2026-06-21T18:45:02.125Z,BTC,300,DOWN,0.99,1,64125.06072902051,64106.49576055202,true,0.010101
2026-06-21T20:40:02.247Z,BTC,300,DOWN,0.98,1,63970.00074496591,63943.48383245543,true,0.020408
